Part No,Part Description,Character Code,Interchangeable Code,KME Stock,KME On Order,KME EOR,KLTD Total,DNet Price,Weight(gm),Lead Time (Production 'Month'),Supplier Born Date,Quantity By Unit,Production Lot,Model Group code,Model Code,Returnable Code,Commodity Group Code(Old),Commodity Code(Old),HS Code Local,Commodity Group Code(New),Commodity Code(New),Service News No,Inventory Res Distributors,Distributor Mortalities,Options Exist,
01010-61440,BOLT,'000',,42,140,26,269,2.14,73,1.5,10/01/1971,24,1,A,000,R,D,DBER99,,M,ML460,,"",522K:17.83|533K:1.33|536C:19.83|555J:5.17,N,
01010-81440,BOLT,'000','018',0,0,0,57,2.05,70,0.8,05/01/1975,10,1,A,000,R,D,DBER99,,M,ML460,,"",522K:17.83|533K:1.33|536C:19.83|555J:5.17,N,
01010-31440,BOLT,'018','018',0,0,0,0,0.00,73,2.5,07/01/1970,10,,A,000,R,D,DBER99,,M,ML460,,"",522K:17.83|533K:1.33|536C:19.83|555J:5.17,N,
01010-51440E,BOLT,,'018',0,0,0,0,0.00,73,0,01/01/0001,3,,,,R,,,,M,ML460,,"",522K:17.83|533K:1.33|536C:19.83|555J:5.17,N,
01010-51440,BOLT,'018','018',0,0,0,0,0.00,73,2.5,10/01/1971,10,,A,000,R,D,DBER99,,M,ML460,,"",522K:17.83|533K:1.33|536C:19.83|555J:5.17,N,
