Revision No,Sale Order No,Distributor Order No,Distributor Code,Customer Code,Distributor Name,Person Incharge,Status,Price Amount,Currency,Creation Date,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,6566.14,USD,07/02/2015,
00,,D-SS1502-15,536M-F01,REG,Sumitomo Corporation Middle East FZE ,536M-F01,In-Process,5625.76,USD,07/02/2015,
00,,1234,536K,REG,DAR AL HAI,aasqar-K,In-Process,378060.74,USD,05/02/2015,
00,,test ,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,110035.63,USD,04/02/2015,
00,,test ,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,21456.54,USD,04/02/2015,
00,,test ,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,4021.80,USD,04/02/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,9781.80,USD,03/02/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,1052.75,USD,03/02/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,0.00,USD,03/02/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,20005.75,USD,03/02/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,11092.86,USD,03/02/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,41092.00,USD,03/02/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,9903.88,USD,03/02/2015,
00,,512512/11S,DS01,REG,KME - DISCREPANCY /SHORTAGE,annaliza,In-Process,0.00,USD,03/02/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,48216.56,USD,02/02/2015,
00,,540227,532K,REG,Jaidah Motors and Trading Co.,rberro,In-Process,0.00,USD,02/02/2015,
00,,1234,536K,REG,DAR AL HAI,aasqar-K,In-Process,1330041.24,USD,02/02/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,14086.27,USD,02/02/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,211.24,USD,01/02/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,6825.36,USD,01/02/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,6276.20,USD,01/02/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,4226.64,USD,01/02/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,662.70,USD,01/02/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,0.00,USD,01/02/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,3262.23,USD,01/02/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,2527.18,USD,01/02/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,423.55,USD,01/02/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,0.00,USD,01/02/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,4268.65,USD,01/02/2015,
00,,test,536M-KU1,REG,Sumitomo Corporation Middle East FZE ,536m-ku1,In-Process,41.69,USD,01/02/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,4176.54,USD,01/02/2015,
00,,GA-001,9999,REG,KOMATSU LIMITED,shiva,In-Process,21046.84,USD,01/02/2015,
00,,512512/11s,DS01,REG,KME - DISCREPANCY /SHORTAGE,annaliza,In-Process,3741.78,USD,01/02/2015,
00,,512512/11S,DS01,REG,KME - DISCREPANCY /SHORTAGE,annaliza,In-Process,0.00,USD,01/02/2015,
00,,CLM-2014-A010,DS01,REG,KME - DISCREPANCY /SHORTAGE,annaliza,In-Process,199.50,USD,01/02/2015,
00,,test,536M-C06F,REG,Sumitomo Corporation Middle East FZE ,536m-c06f,In-Process,3040.47,USD,31/01/2015,
00,,M1A7913,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,29/01/2015,
00,,M1A7913,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,29/01/2015,
00,,M1A7913,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,29/01/2015,
00,,D-SS1501-50,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,0.00,USD,28/01/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,703.48,USD,28/01/2015,
00,,512512/11S,DS01,REG,KME - DISCREPANCY /SHORTAGE,annaliza,In-Process,271.38,USD,28/01/2015,
00,,PPO003208-R,555R,REG,Abdul Latif Jameel Machinery Trading Co. LTD,mowais-r,In-Process,0.00,USD,27/01/2015,
00,,CLM-2014-A010,DS01,REG,KME - DISCREPANCY /SHORTAGE,annaliza,In-Process,199.50,USD,27/01/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,19391.35,USD,27/01/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,150.55,USD,27/01/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,1292.62,USD,27/01/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,0.00,USD,27/01/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,48451.29,USD,27/01/2015,
