Revision No,Sale Order No,Distributor Order No,Distributor Code,Customer Code,Distributor Name,Person Incharge,Status,Price Amount,Currency,Creation Date,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,152440.00,USD,06/06/2015,
00,,7135,536K,REG,DAR AL HAI,aasqar-k,In-Process,143.14,USD,02/06/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,67195.83,USD,02/06/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,14694.76,USD,02/06/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,65.66,USD,02/06/2015,
00,,DISCREPANCY,DS01,REG,KME - DISCREPANCY /SHORTAGE,annaliza,In-Process,5647.40,USD,01/06/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,10.90,USD,30/05/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,0.00,USD,30/05/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,12233.81,USD,30/05/2015,
00,,D-SS1505-61,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,2002.86,USD,30/05/2015,
00,,test,536M-C06F,REG,Sumitomo Corporation Middle East FZE ,536m-c06f,In-Process,3573.64,USD,30/05/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,100276.66,USD,30/05/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,8502.82,USD,30/05/2015,
