Invoice Output Date,Distributor Code,Invoice Number,Distributor Reference Number,Number Of Items,Total Amount,
24/03/2015,536C,22062,,9,9827.20,
25/03/2015,536C,22088,,10,5106.96,
26/03/2015,536C,22100,,21,2527.94,
28/03/2015,536C,22105,,8,2754.94,
30/03/2015,536C,22149,,8,2090.18,
02/04/2015,536C,22208,,10,1146.61,
07/04/2015,536C,22276,,5,709.32,
08/04/2015,536C,22295,,16,736.31,
09/04/2015,536C,22312,,35,4507.32,
03/03/2016,536C,27450,,7,2037.30,
19/10/2016,536C,31221,,6,626.26,
06/03/2016,555J,27479,,1,8582.80,
07/03/2016,536C,27514,,6,3597.79,
13/08/2017,536C,35800,,6,1479.33,
16/08/2017,536C,35850,,13,5678.62,
14/06/2016,536C,29220,,4,4142.41,
08/06/2015,536C,23227,,21,1541.04,
04/08/2016,536C,29997,,3,19804.80,
21/08/2017,536C,35924,,33,3405.38,
22/08/2017,536C,35941,,4,3975.19,
24/08/2015,536C,24427,,8,596.54,
25/08/2015,536C,24447,,2,21400.00,
26/08/2015,536C,24465,,5,931.94,
25/08/2015,536C,24445,,1,1728.59,
27/08/2015,536C,24483,,5,575.62,
29/08/2015,536C,24488,,10,121.96,
02/09/2015,536C,24576,,16,522.89,
03/09/2015,536C,24602,,4,31.50,
08/07/2015,536C,23699,,4,345.41,
09/07/2015,536C,23702,,5,8006.97,
09/07/2015,536C,23724,,1,4530.33,
11/07/2015,536C,23727,,5,806.82,
11/07/2015,536C,23728,,15,1277.86,
15/07/2015,536C,23798,,1,112.46,
14/07/2015,555R,23791,,1,162.00,
14/07/2015,536C,23797,,17,1858.76,
22/07/2015,536C,23908,,3,279.50,
25/07/2015,536C,23925,,5,565.86,
26/07/2015,536C,23953,,3,36038.00,
27/07/2015,536C,23976,,5,2238.49,
29/07/2015,536C,24012,,7,1231.51,
22/09/2015,536C,24886,,44,5725.07,
28/09/2015,536C,24934,,10,1283.22,
29/09/2015,536C,24957,,14,2903.96,
26/09/2015,536C,24901,,22,1161.70,
30/10/2017,536C,36951,,7,4633.34,
24/11/2015,536C,25843,,19,6052.38,
26/11/2015,536C,25874,,2,21016.00,
30/09/2021,536C,60695,,4,39211.60,
06/10/2021,536C,60753,,1,33997.60,
06/10/2021,536C,60754,,2,30172.87,
04/04/2021,536C,58742,,8,5262.80,
29/08/2016,536C,30436,,2,481.87,
16/07/2015,536C,23836,,3,247.44,
20/07/2015,555J,23860,,1,86040.00,
19/07/2015,536C,23843,,18,2076.94,
21/07/2015,536C,23886,,7,401.07,
11/08/2015,536C,24211,,6,186.92,
01/04/2015,536C,22184,,20,1238.38,
01/04/2015,536C,22186,,8,904.28,
01/07/2015,536C,23583,,9,932.73,
07/05/2015,536C,22740,,45,10723.35,
09/05/2015,536C,22742,,5,53.82,
04/04/2015,536C,22209,,27,16485.71,
06/04/2015,536C,22264,,19,2793.88,
11/04/2015,536C,22326,,15,3735.54,
27/02/2017,536C,33309,,23,2770.63,
27/02/2017,536C,33297,,1,12488.00,
27/02/2017,536C,33298,,1,12488.00,
26/02/2017,536C,33290,,3,27527.36,
15/01/2017,536C,32630,,2,33420.80,
12/03/2015,536C,21872,,1,23440.00,
12/03/2015,536C,21873,,11,396.42,
16/03/2015,536C,21927,,26,2972.29,
17/03/2015,536C,21953,,10,227.09,
18/03/2015,536C,21971,,3,522.83,
17/10/2015,536C,25203,,10,644.81,
19/10/2015,536C,25259,,33,1616.53,
28/12/2016,536C,32338,,1,6671.71,
21/02/2016,536C,27252,,6,603.25,
22/02/2016,536C,27274,,1,422.69,
23/02/2016,536C,27298,,6,1974.72,
25/02/2016,536C,27350,,6,4414.27,
17/05/2015,536C,22859,,3,581.02,
14/05/2015,536C,22848,,7,1574.54,
14/05/2015,555J,22849,,3,4712.25,
18/06/2015,536C,23409,,1,23440.00,
20/06/2015,9999,23424,,2,1122.30,
20/06/2015,9999,23425,,1,223.80,
30/06/2015,9999,23575,,2,2383.17,
21/06/2015,536C,23440,,6,46472.00,
21/06/2015,536C,23441,,3,37008.00,
24/06/2015,536C,23482,,25,2407.03,
25/06/2015,536C,23497,,11,1385.21,
13/08/2015,536C,24253,,9,297.86,
13/08/2015,555J,24240,,1,43020.00,
13/02/2016,536C,27093,,12,1552.26,
18/02/2016,536C,27214,,8,3332.66,
12/11/2017,536C,37132,,9,5208.79,
24/04/2017,522K-SRV,34207,,2,16900.00,
04/12/2016,536C,31974,,1,12488.00,
04/12/2016,536C,31975,,2,24976.00,
17/10/2017,536C,36743,,4,772.94,
24/05/2016,536C,28867,,7,773.07,
26/05/2016,536C,28902,,5,134400.00,
26/05/2016,536C,28920,,4,1884.46,
25/05/2016,536C,28897,,2,1450.58,
30/05/2016,536C,28989,,3,2895.83,
11/01/2017,536C,32551,,1,24976.00,
11/01/2017,536C,32554,,1,12488.00,
18/10/2017,536C,36760,,2,15443.68,
02/07/2017,536C,35199,,4,1688.43,
06/07/2017,536C,35266,,4,756.53,
15/08/2015,536C,24256,,8,476.55,
17/08/2015,536C,24315,,5,664.97,
18/08/2015,536C,24332,,7,134.75,
10/09/2015,536C,24702,,15,977.74,
12/09/2015,536C,24704,,5,377.03,
15/09/2015,536C,24773,,9,3391.00,
19/09/2015,536C,24811,,2,20304.00,
19/09/2015,536C,24812,,24,6072.16,
30/07/2015,536C,24028,,13,535.83,
03/08/2015,536C,24064,,2,9680.00,
04/07/2017,536C,35219,,14,523.87,
06/07/2017,536C,35268,,8,586.05,
10/07/2017,536C,35304,,7,733.02,
10/07/2017,536C,35305,,4,19925.04,
01/08/2015,536C,24029,,7,124.28,
17/03/2016,536C,27692,,14,1638.86,
17/03/2016,536C,27695,,1,23440.00,
16/03/2016,536C,27672,,2,50.24,
19/03/2016,536C,27696,,4,5870.04,
01/11/2017,536C,36980,,2,129.74,
01/11/2017,536C,36996,,7,3295.67,
08/10/2015,536C,25103,,38,1377.92,
10/10/2015,536C,25104,,12,5120.17,
26/07/2018,536C,40672,,1,5043.34,
26/07/2018,536C-SP,40673,,2,10.02,
12/05/2016,536C,28653,,2,48432.00,
09/05/2016,536C,28594,,9,1794.75,
14/01/2018,536C,37950,,2,6065.74,
14/01/2018,536I,37951,,3,27935.20,
12/04/2018,536C,39271,,2,219.92,
31/03/2016,555J,27946,,17,109000.00,
18/05/2015,536C,22890,,4,768.23,
19/05/2015,536C,22910,,2,301.20,
20/05/2015,536C,22923,,3,39588.00,
20/05/2015,536C,22924,,6,40600.00,
20/05/2015,536C,22925,,8,2196.70,
25/05/2015,536C,22994,,7,704.59,
13/04/2015,536C,22368,,8,775.50,
14/04/2015,536C,22383,,5,4911.73,
15/04/2015,536C,22401,,6,650.64,
16/04/2015,536C,22420,,14,4042.85,
16/12/2015,536C,26174,,6,1267.13,
17/12/2015,536C,26193,,2,18006.00,
17/12/2015,536C,26196,,2,21400.00,
20/12/2015,536C,26230,,2,17688.00,
09/06/2015,536C,23248,,7,2559.93,
10/06/2015,536C,23272,,13,2278.05,
11/06/2015,536C,23294,,4,453.98,
10/03/2016,536C,27548,,2,20.98,
13/03/2016,555J,27597,,2,59.70,
14/03/2016,536C,27628,,15,2321.75,
30/06/2021,536C,59698,,13,1157.89,
31/03/2020,555D,54660,,1,51469.47,
26/09/2017,536C,36420,,11,1273.97,
