Invoice Output Date,Distributor Code,Invoice Number,Distributor Reference Number,Number Of Items,Total Amount,
05/11/2014,536C,19961,,10,3021.42,
06/11/2014,536C,19986,,8,1533.49,
02/11/2014,536C,19910,,2,50.04,
21/10/2014,536C,19747,,23,4410.77,
22/10/2014,536C,19760,,12,3133.84,
23/10/2014,536C,19788,,4,148.55,
26/10/2014,536C,19810,,11,5107.67,
27/10/2014,536C,19827,,6,2081.02,
28/10/2014,536C,19849,,5,425.50,
29/10/2014,536C,19867,,12,509.14,
10/11/2014,536C,20036,,7,617.77,
09/11/2014,536C,20015,,7,497.87,
09/11/2014,536C,20016,,1,827.70,
11/11/2014,536C,20054,,5,372.73,
17/12/2019,536C,52211,,4,37620.00,
10/05/2021,536C,59112,,1,32600.00,
10/05/2021,536C,59113,,3,35824.30,
15/05/2021,536C,59132,,3,39930.00,
15/05/2021,536C,59133,,3,32148.00,
14/12/2014,536C,20533,,16,3157.21,
11/12/2014,536C,20509,,14,1821.61,
11/12/2014,555J,20510,,1,107.81,
17/12/2014,536C,20595,,4,380.70,
08/01/2015,536C,20900,,9,467.75,
10/01/2015,536C,20902,,1,268.20,
10/01/2015,536C,20903,,8,4329.14,
13/01/2015,536C,20971,,23,6240.98,
14/01/2015,536C,20990,,10,2462.64,
26/05/2020,536C,55380,,21,2103.79,
02/05/2021,522K,59040,,1,473.60,
11/04/2021,536C,58821,,26,5556.44,
14/04/2021,536C,58843,,3,26861.50,
14/04/2021,536C,58851,,5,30644.90,
15/11/2020,536C,57482,,27,3726.60,
24/12/2020,536C,57823,,11,2643.06,
14/01/2021,536C,57990,,1,32600.00,
14/01/2021,536C,57991,,3,13447.50,
17/05/2021,536C,59164,,31,4831.35,
19/05/2021,522K,59188,,2,1351.68,
18/05/2021,536C,59171,,1,24976.00,
20/05/2021,536C,59207,,2,9730.80,
18/01/2021,536C,58023,,1,0.00,
13/01/2021,536C,57980,,1,32600.00,
24/01/2021,536C,58071,,19,4038.88,
22/11/2020,536C,57550,,26,3589.74,
13/12/2020,536C,57713,,73,10574.17,
20/12/2020,536C,57779,,18,3564.54,
20/12/2020,536C,57778,,1,13.37,
14/07/2021,536C,59865,,2,29244.30,
14/07/2021,536C,59866,,1,33997.60,
14/07/2021,536C,59867,,5,37711.60,
14/07/2021,536C,59868,,1,26408.80,
08/08/2021,536C,60096,,32,7232.51,
09/08/2021,536C,60114,,4,39347.60,
15/08/2021,536C,60164,,3,26412.90,
15/08/2021,536C,60167,,4,36216.00,
04/07/2019,536C,48464,,1,33420.80,
12/09/2019,536C,49937,,2,29504.40,
13/12/2017,536C,37605,,2,10095.00,
08/03/2020,536C,54130,,31,5068.47,
25/09/2019,536C,50259,,3,17618.00,
30/01/2018,536C,38190,,2,1676.52,
25/04/2018,536C,39442,,3,30415.20,
26/04/2018,536C,39461,,7,4907.77,
28/08/2019,536C,49617,,1,12488.00,
12/10/2014,536C,19588,,12,3768.24,
14/10/2014,536C,19618,,9,2176.74,
15/10/2014,536C,19637,,4,431.74,
30/05/2019,536C,47796,,2,5458.28,
16/12/2014,536C,20580,,5,1178.27,
15/12/2014,536C,20565,,7,1349.00,
18/12/2014,536C,20615,,2,164.15,
20/12/2014,536C,20616,,5,1095.32,
24/12/2014,536C,20696,,11,6191.42,
29/09/2014,536C,19449,,11,7501.65,
30/09/2014,536C,19460,,6,298.12,
22/09/2014,536C,19350,,44,12936.86,
24/09/2014,536C,19388,,14,2059.83,
25/09/2014,536C,19405,,1,86.09,
16/11/2014,536C,20117,,34,3165.89,
12/11/2014,536C,20073,,11,2711.67,
07/03/2021,536C,58473,,20,3564.05,
01/12/2014,536C,20365,,3,37463.60,
03/12/2014,536C,20376,,13,1764.20,
01/12/2014,536C,20362,,5,263.52,
08/12/2014,536C,20452,,11,469.42,
10/12/2014,536C,20486,,4,422.11,
09/12/2014,536C,20467,,10,426.72,
15/01/2015,536C,21006,,4,555.07,
17/01/2015,536C,21007,,8,1266.77,
19/01/2015,536C,21054,,10,3325.09,
20/01/2015,536C,21061,,11,778.06,
21/01/2015,536C,21096,,8,829.27,
08/11/2020,536C,57415,,60,8381.66,
12/09/2021,536C,60499,,77,9975.54,
06/09/2020,536C,56778,,28,7995.50,
13/09/2020,536C,56856,,37,10787.15,
10/09/2020,536C,56828,,3,28554.00,
20/09/2020,536C,56913,,21,2644.66,
17/03/2021,536C,58576,,2,27282.00,
18/03/2021,522K,58584,,2,605.99,
21/03/2021,536C,58611,,37,5159.67,
24/03/2021,536C,58633,,4,34758.20,
14/03/2021,536C,58535,,34,3431.66,
21/02/2021,536C,58351,,25,10438.73,
25/02/2021,536C,58389,,2,14492.40,
28/03/2021,536C,58681,,16,3741.25,
15/06/2021,522K,59531,,8,59536.00,
15/06/2021,522K,59536,,1,0.00,
10/02/2021,536C,58247,,1,32600.00,
10/02/2021,536C,58248,,1,32600.00,
10/02/2021,522K,58244,,1,365.76,
11/02/2021,536C,58257,,1,32600.00,
11/02/2021,536C,58258,,2,31075.20,
11/02/2021,536C,58259,,3,30141.30,
18/02/2021,536C,58329,,4,36700.20,
